status,x,y,z,azimuth,elevation,roll,button,quality,time,image_ts,image_filename
0x0000,243.669,170.445,-33.04,-76.913,-66.525,-24.37,1,7,1743801351030,1743801351027,data_Color_1743801351027.13549804687500.png
0x0000,243.669,171.227,-33.598,-76.912,-65.265,-24.371,1,7,1743801351096,1743801351094,data_Color_1743801351094.54833984375000.png
0x0000,243.78,172.008,-34.268,-76.784,-64.022,-24.51,1,7,1743801351163,1743801351161,data_Color_1743801351161.54589843750000.png
0x0000,244.004,172.678,-35.272,-77.081,-62.597,-24.232,1,7,1743801351229,1743801351228,data_Color_1743801351228.63671875000000.png
0x0000,244.227,173.236,-36.277,-77.879,-69.516,-23.479,1,7,1743801351296,1743801351295,data_Color_1743801351295.99169921875000.png
0x0000,244.339,174.241,-37.058,-78.497,-68.291,-22.789,1,7,1743801351362,1743801351362,data_Color_1743801351362.98999023437500.png
0x0000,244.785,175.245,-37.505,-78.662,-67.076,-22.519,1,6,1743801351429,1743801351430,data_Color_1743801351430.31274414062500.png
0x0000,245.455,176.026,-37.84,-78.754,-65.987,-22.293,1,6,1743801351496,1743801351497,data_Color_1743801351497.75244140625000.png
0x0000,246.236,176.919,-38.286,-78.849,-64.976,-22.136,1,6,1743801351562,1743801351564,data_Color_1743801351564.61889648437500.png
0x0000,246.683,177.812,-39.067,-79.022,-63.985,-21.908,1,6,1743801351629,1743801351631,data_Color_1743801351631.98510742187500.png
0x0000,246.906,178.705,-39.849,-79.095,-63.013,-21.801,1,6,1743801351695,1743801351699,data_Color_1743801351699.00683593750000.png
0x0000,247.129,179.71,-40.072,-79.124,-62.268,-21.718,1,6,1743801351762,1743801351766,data_Color_1743801351766.17431640625000.png
0x0000,247.241,180.715,-40.295,-79.243,-61.687,-21.478,1,6,1743801351828,1743801351833,data_Color_1743801351833.42407226562500.png
0x0000,247.799,181.608,-40.853,-79.654,-61.045,-21.036,1,6,1743801351895,1743801351900,data_Color_1743801351900.58764648437500.png
0x0000,248.357,181.942,-42.193,-80.089,-60.373,-20.655,1,6,1743801351961,1743801351967,data_Color_1743801351967.76318359375000.png
