status,x,y,z,azimuth,elevation,roll,button,quality,time
0x0000,301.154,148.903,-28.24,49.588,-68.596,-177.182,1,21,1743801384.169
0x0000,300.93,148.679,-28.575,49.3,-68.367,-177.095,1,21,1743801384.18
0x0000,300.819,148.344,-28.463,49.106,-68.254,-177.146,1,21,1743801384.191
0x0000,300.596,148.344,-28.463,48.974,-68.047,-177.116,1,21,1743801384.203
0x0000,300.484,148.121,-28.687,48.696,-67.786,-176.981,1,21,1743801384.214
0x0000,300.372,147.898,-28.687,48.467,-67.584,-176.935,1,21,1743801384.225
0x0000,300.261,147.675,-28.687,48.298,-67.401,-176.886,1,21,1743801384.236
0x0000,300.149,147.563,-28.687,48.13,-67.184,-176.876,1,20,1743801384.247
0x0000,300.037,147.34,-28.687,47.997,-66.95,-176.872,1,20,1743801384.258
0x0000,300.037,147.117,-28.687,47.876,-66.772,-176.928,1,20,1743801384.269
0x0000,299.926,147.005,-28.575,47.909,-66.649,-177.123,1,20,1743801384.28
0x0000,299.814,146.782,-28.687,47.985,-66.438,-177.356,1,20,1743801384.291
0x0000,299.703,146.67,-28.575,48.093,-66.316,-177.631,1,20,1743801384.302
0x0000,299.479,146.67,-28.463,48.366,-66.229,-178.09,1,20,1743801384.313
0x0000,299.368,146.558,-28.463,48.692,-66.107,-178.583,1,20,1743801384.325
0x0000,299.145,146.558,-28.463,49.085,-66.038,-179.139,1,20,1743801384.336
0x0000,298.921,146.558,-28.352,49.557,-66.004,-179.794,1,20,1743801384.347
0x0000,298.81,146.447,-28.352,49.999,-65.953,179.571,1,19,1743801384.358
0x0000,298.586,146.558,-28.352,50.509,-65.953,178.901,1,19,1743801384.369
0x0000,298.475,146.447,-28.352,50.975,-65.953,178.231,1,19,1743801384.38
0x0000,298.363,146.335,-28.352,51.367,-65.97,177.612,1,19,1743801384.391
0x0000,298.252,146.224,-28.352,51.767,-66.004,177.006,1,19,1743801384.402
0x0000,298.252,146.0,-28.352,52.096,-66.038,176.449,1,19,1743801384.413
0x0000,298.252,145.777,-28.352,52.357,-66.09,175.924,1,19,1743801384.424
0x0000,298.363,145.554,-28.352,52.608,-66.142,175.429,1,19,1743801384.435
0x0000,298.475,145.331,-28.352,52.811,-66.211,174.947,1,19,1743801384.447
0x0000,298.586,144.996,-28.352,52.998,-66.281,174.478,1,19,1743801384.458
0x0000,298.698,144.773,-28.352,53.144,-66.35,174.026,1,19,1743801384.469
0x0000,298.81,144.326,-28.352,53.277,-66.403,173.606,1,19,1743801384.48
0x0000,299.033,143.991,-28.24,53.393,-66.49,173.16,1,19,1743801384.491
0x0000,299.256,143.768,-28.24,53.528,-66.56,172.753,1,18,1743801384.502
0x0000,299.479,143.321,-28.24,53.595,-66.613,172.383,1,18,1743801384.513
0x0000,299.814,142.987,-28.129,53.661,-66.684,171.985,1,18,1743801384.524
0x0000,300.037,142.763,-28.017,53.743,-66.737,171.662,1,18,1743801384.535
0x0000,300.261,142.317,-28.017,53.783,-66.772,171.378,1,18,1743801384.547
0x0000,300.707,141.87,-27.905,53.778,-66.843,171.087,1,18,1743801384.558
0x0000,300.93,141.647,-27.794,53.807,-66.879,170.875,1,18,1743801384.569
0x0000,301.265,141.201,-27.794,53.809,-66.915,170.679,1,18,1743801384.58
0x0000,301.712,140.754,-27.682,53.774,-66.968,170.497,1,18,1743801384.591
0x0000,301.935,140.531,-27.682,53.786,-67.004,170.376,1,18,1743801384.602
0x0000,302.382,140.196,-27.682,53.772,-67.04,170.272,1,18,1743801384.613
0x0000,302.716,139.861,-27.682,53.759,-67.076,170.148,1,18,1743801384.624
0x0000,303.051,139.638,-27.682,53.77,-67.094,170.08,1,18,1743801384.635
0x0000,303.386,139.303,-27.682,53.782,-67.13,170.011,1,18,1743801384.646
0x0000,303.833,139.08,-27.794,53.783,-67.166,169.942,1,18,1743801384.657
0x0000,304.279,138.745,-27.794,53.809,-67.202,169.87,1,18,1743801384.668
0x0000,304.726,138.522,-27.794,53.836,-67.238,169.8,1,18,1743801384.68
0x0000,305.172,138.187,-27.905,53.891,-67.292,169.742,1,18,1743801384.691
0x0000,305.73,137.74,-27.905,53.941,-67.347,169.645,1,18,1743801384.702
0x0000,306.288,137.517,-28.017,54.015,-67.401,169.583,1,18,1743801384.713
0x0000,306.735,137.294,-28.017,54.101,-67.456,169.503,1,18,1743801384.724
0x0000,307.404,136.959,-28.017,54.192,-67.529,169.419,1,18,1743801384.735
0x0000,307.851,136.736,-28.017,54.29,-67.565,169.32,1,18,1743801384.746
0x0000,308.186,136.736,-28.017,54.398,-67.621,169.263,1,18,1743801384.757
0x0000,308.521,136.513,-28.017,54.467,-67.639,169.174,1,18,1743801384.768
0x0000,308.744,136.513,-28.017,54.557,-67.676,169.066,1,18,1743801384.78
0x0000,308.856,136.513,-28.017,54.653,-67.694,168.983,1,18,1743801384.79
0x0000,309.079,136.513,-28.129,54.683,-67.694,168.907,1,18,1743801384.802
0x0000,309.079,136.513,-28.129,54.75,-67.694,168.809,1,18,1743801384.813
0x0000,309.19,136.624,-28.129,54.827,-67.694,168.701,1,18,1743801384.824
0x0000,309.19,136.624,-28.24,54.848,-67.676,168.614,1,18,1743801384.835
0x0000,309.19,136.624,-28.24,54.869,-67.657,168.51,1,18,1743801384.846
0x0000,309.079,136.736,-28.24,54.912,-67.639,168.405,1,18,1743801384.857
0x0000,309.079,136.736,-28.352,54.918,-67.621,168.322,1,18,1743801384.868
0x0000,308.967,136.736,-28.352,54.934,-67.602,168.2,1,18,1743801384.879
0x0000,308.856,136.847,-28.463,54.951,-67.584,168.082,1,18,1743801384.89
0x0000,308.744,136.847,-28.463,54.963,-67.547,167.968,1,18,1743801384.902
0x0000,308.632,136.959,-28.463,54.964,-67.511,167.832,1,18,1743801384.913
0x0000,308.521,137.071,-28.575,55.002,-67.492,167.661,1,18,1743801384.924
0x0000,308.074,137.182,-28.575,55.032,-67.401,167.276,1,17,1743801384.935
0x0000,307.851,137.406,-28.687,55.07,-67.328,166.92,1,17,1743801384.946
0x0000,307.516,137.517,-28.687,55.094,-67.274,166.583,1,17,1743801384.957
0x0000,306.846,137.74,-28.798,55.13,-67.148,165.863,1,17,1743801384.968
0x0000,306.623,137.74,-28.798,55.124,-67.076,165.458,1,17,1743801384.979
0x0000,306.4,137.629,-28.91,55.098,-67.004,165.147,1,17,1743801384.99
0x0000,306.177,137.74,-29.021,55.067,-66.933,164.842,1,17,1743801385.001
0x0000,305.953,137.629,-29.021,55.03,-66.879,164.586,1,17,1743801385.012
0x0000,305.73,137.517,-29.245,54.975,-66.808,164.369,1,17,1743801385.024
0x0000,305.619,137.517,-29.356,54.948,-66.737,164.154,1,17,1743801385.035
0x0000,305.395,137.517,-29.468,54.923,-66.666,163.962,1,17,1743801385.046
0x0000,305.172,137.406,-29.58,54.911,-66.613,163.745,1,17,1743801385.057
0x0000,305.06,137.406,-29.691,54.935,-66.543,163.55,1,17,1743801385.068
0x0000,304.837,137.294,-29.803,54.919,-66.473,163.361,1,16,1743801385.079
0x0000,304.726,137.182,-29.803,54.979,-66.438,163.11,1,16,1743801385.09
0x0000,304.502,137.294,-29.914,55.041,-66.368,162.918,1,16,1743801385.101
0x0000,304.391,137.071,-29.914,55.031,-66.298,162.742,1,16,1743801385.112
0x0000,304.279,136.847,-29.803,55.095,-66.263,162.488,1,16,1743801385.123
0x0000,304.167,136.736,-29.691,55.151,-66.177,162.327,1,16,1743801385.135
0x0000,304.167,136.513,-29.691,55.108,-66.073,162.22,1,16,1743801385.146
0x0000,304.167,136.066,-29.58,55.097,-66.021,162.044,1,16,1743801385.157
0x0000,304.056,135.954,-29.468,55.115,-65.935,161.961,1,16,1743801385.168
0x0000,304.167,135.62,-29.356,55.044,-65.816,161.916,1,16,1743801385.179
0x0000,304.167,135.173,-29.245,54.979,-65.713,161.866,1,16,1743801385.19
0x0000,304.167,135.062,-29.133,54.945,-65.628,161.855,1,16,1743801385.201
0x0000,304.279,134.727,-29.021,54.904,-65.527,161.843,1,16,1743801385.212
0x0000,304.279,134.392,-28.91,54.859,-65.409,161.826,1,16,1743801385.223
0x0000,304.391,134.169,-28.91,54.827,-65.325,161.814,1,16,1743801385.234
0x0000,304.391,133.945,-28.798,54.841,-65.225,161.792,1,15,1743801385.245
0x0000,304.502,133.834,-28.798,54.857,-65.125,161.749,1,15,1743801385.257
0x0000,304.614,133.61,-28.687,54.907,-65.025,161.691,1,15,1743801385.268
0x0000,304.614,133.499,-28.575,54.967,-64.943,161.617,1,15,1743801385.279
0x0000,304.726,133.387,-28.575,55.059,-64.827,161.503,1,15,1743801385.29
0x0000,304.726,133.276,-28.463,55.183,-64.729,161.368,1,15,1743801385.301
0x0000,304.837,133.164,-28.463,55.328,-64.614,161.194,1,15,1743801385.312
0x0000,304.837,133.052,-28.352,55.485,-64.5,161.015,1,15,1743801385.323
0x0000,304.949,132.829,-28.24,55.682,-64.355,160.763,1,15,1743801385.334
